,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ornamental Winners,Agricultural Winners,Nitrogen-fixer?,family,Generic Epithet,Specific Hybrid Symbol,Specific Epithet,Section,Botanic,Infraspecific rank,Infraspecific Epithet,Cultivar Epithet,comm_ful,Conservation Status,Native range,"Habit (tree, shrub, vine)",# stems,Growth rate,Lifespan,Max Height (ft),Max Spread (ft),Leaf persistence,HABITAT,Wetland indicator,Light exposure,Soil preferences,Propagation,Root type/depth,Container Type,Transplant Time,Time to prune,Insect Pests,Disease,pH min,pH max,USDA Hardiness Zone,Salt Tolerance,Drought tolerance,Heat tolerance,"Flood Tolerance intolerant, tolerant, medium (10-30% season)",Leaf color,Fall color,flower color,Bloom time,Fruit color,Bark features,Thorns?,Fruit type,CTLA Species rating,Edible?,Wildlife value,"wildlife habitat uses            DB = high value deer browse
WB = wildlife browse
WM = wildlife mast (fruit, nut, seed)
WC = wildlife cover
",wildlife specific uses,Uses,Umass treecount
,,,,,,,,Tsuga canadensis,,,,,,,T,,S,L,105,,,,FACU,shade,,,,,,,,,4.4-5.7,,3b,N,L,,I,,,,mSp,,,,,,,,,,"*quarantine on some stock, buy in state due to wooly adelgid, check stock, seed cold strat. Req., very shade tolerant",
,,,,,,,,Quercus coccinea,,,,,,,T,,R,M,90,39,,,None,sun,,,,,,,,,4.5-6.9,,4a,N,M,,,,,,mSp,,,,,,,,,,"*S1 Very Rare in Vermont. Widely planted as an ornamental.Brilliant red autumn color, open crown texture, and rapid growth make it a desirable tree for yard",
,,,,,,,,Sorbus decora,,,,,,,T,,M,M,40,,,,FAC*,sun/partial,,,,,,,,,4.0-7.0,,3a,N,L,,,,,,eSu,,,,,,,,,,"*S3 Uncommon in Vermont. Do not plant without working with VTFWD Nongame and Natural Heritage Program; Found at high elevationskrummholz, montane spruce-fir",
,,,,,,,,Kalmia latifolia,,,,,,,S,,S,L,10,10,,,FACU,sun/partial,,,,,,,,,4.5-5.5,,3,N,H,,I,,,,mSp,,,,,,,,,,"acid soil, 5 yr - 5' x 5'",
,,,,,,,,Photinia melanocarpa,,,,,,,S,,M,M,6,8,,,FAC,sun/partial,,,,,,,,,5.1-6.5,,4,N,L,,,,,,mSp,,,,,,,,,,"acid soils only, invasive, 5 yrs - 5 x 4 ft",
,,,,,,,,Vaccinium corymbosum,,,,,,,S,,M,M,10,10,,,FACW-,partial/shade,,,,,,,,,3.5-6.0,,3b,H,L,,,,,,eSu,,,,,,,,,,"all soil textures, edible berry, demands acid soils",
,,,,,,,,Juniperus communis,,,,,,,S,,S,L,8,8,,,None,sun,,,,,,,,,5.5-8.0,,2a,N,H,,,,,,mSp,,,,,,,,,,"allelopath, all soil textures, low fert. Req., high CaCO3 tol., *med. hedge tol., seed cold strat. Req.",
,,,,,,,,Rhododendron canadense,,,,,,,S,,M,L,18,18,,,FACW,shade,,,,,,,,,4.0-5.3,,4b,N,L,,,,,,mSp,,,,,,,,,,"allelopath, slight toxicity, med + coarse textured soils, low fertility requirement, acid soils",
,,,,,,,,Juglans cinerea,,,,,,,T,,R,M,80,60,,,FACU+,sun,,,,,,,,,6.0-7.0,,3,N,L,,,,,,lSp,,,,,,,,,,"allelopathic, edible nut, seed cold strat. Req. Susceptible to butternut canker fungus; don't recommend until resistant var. is available",
,,,,,,,,Sassafras albidum,,,,,,,T,,R,S,50,32,,,FACU-,sun,,,,,,,,,4.5-7.2,,5,N,H,,,,,,lSp,,,,,,,,,,"allelopathic, good screen tree on dry, sandy soils, diff. transp. because of deep taproot, intol. flood, soil waterlogging",
