scientific_name,common_name,synonyms,family,genus,growth_habit,height_mature_ft,catalog_source
(x Sorbaronia sp.) x (x Sorbocotoneaster sp.),,,Rosaceae,Sorbaronia,Shrub,5.9,Arnold Arboretum living collection (Arboretum Explorer)
+ Laburnocytisus 'Adamii',,,Fabaceae,Laburnocytisus,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abelia chinensis,Chinese Abelia,,Caprifoliaceae,Abelia,Shrub,9.2,Arnold Arboretum living collection (Arboretum Explorer)
Abelia mosanensis,Fragrant Abelia,,Caprifoliaceae,Abelia,Shrub,,Arnold Arboretum living collection (Arboretum Explorer)
Abelia x grandiflora,Glossy Abelia,,Caprifoliaceae,Abelia,Shrub,,Arnold Arboretum living collection (Arboretum Explorer)
Abeliophyllum distichum,Korean Abelialeaf,,Oleaceae,Abeliophyllum,Shrub,7.2,Arnold Arboretum living collection (Arboretum Explorer)
Abeliophyllum distichum 'Roseum',,,Oleaceae,Abeliophyllum,Shrub,5.2,Arnold Arboretum living collection (Arboretum Explorer)
Abies alba,Silver Fir,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies amabilis 'Spreading Star',Cultivar of Cascade Fir,,Pinaceae,Abies,Shrub,40.0,Arnold Arboretum living collection (Arboretum Explorer)
Abies balsamea,Balsam Fir,,Pinaceae,Abies,Tree,4.3,Arnold Arboretum living collection (Arboretum Explorer)
Abies balsamea 'Nana',Dwarf Balsam Fir,|Abies balsamea forma nana|,Pinaceae,Abies,Shrub,,Arnold Arboretum living collection (Arboretum Explorer)
Abies beshanzuensis var. ziyuanensis,Guangxi Fir,|Abies ziyuanensis|,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies cephalonica,Greek Fir,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies cephalonica (undetermined hybrid),Hybrid of Grecian fir,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies cf. sachalinensis,,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies cilicica,Cilician Fir,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies cilicica ssp. isaurica,,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies concolor,White Fir,,Pinaceae,Abies,Tree,73.2,Arnold Arboretum living collection (Arboretum Explorer)
Abies concolor 'Candicans',Cultivar of White Fir,|Abies concolor var. candicans|,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies concolor 'Compacta',Cultivar of White Fir,,Pinaceae,Abies,Tree,6.0,Arnold Arboretum living collection (Arboretum Explorer)
Abies concolor 'Conica',Conical White Fir,|Abies concolor var. conica|,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies concolor 'Violacea',Purplecone White Fir,|Abies concolor var. violacea|,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies fabri,Faber's Fir,,Pinaceae,Abies,Tree,7.9,Arnold Arboretum living collection (Arboretum Explorer)
Abies fargesii,Farges Fir,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies fargesii var. fargesii,Farges Fir,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies firma,Momi Fir,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies forrestii,Burma Fir,|Abies delavayi var. smithii|Abies delavayi var. forrestii|,Pinaceae,Abies,Tree,2.0,Arnold Arboretum living collection (Arboretum Explorer)
Abies fraseri,Fraser Fir,,Pinaceae,Abies,Tree,6.6,Arnold Arboretum living collection (Arboretum Explorer)
Abies grandis,Grand Fir,|Abies grandis forma johnsonii|,Pinaceae,Abies,Tree,4.9,Arnold Arboretum living collection (Arboretum Explorer)
Abies holophylla,Needle Fir,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies homolepis var. homolepis,Nikko Fir,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies homolepis var. umbellata,Dimplecone Fir,|Abies x umbellata|Abies umbellata|,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies kawakamii,Taiwan Fir,|Abies mariesii var. kawakamii|,Pinaceae,Abies,Tree,2.3,Arnold Arboretum living collection (Arboretum Explorer)
Abies koreana,Korean Fir,,Pinaceae,Abies,Tree,62.6,Arnold Arboretum living collection (Arboretum Explorer)
Abies koreana 'Aurea',Cultivar of Korean Fir,,Pinaceae,Abies,Tree,10.0,Arnold Arboretum living collection (Arboretum Explorer)
Abies koreana 'Prostrate Beauty',Cultivar of Korean Fir,,Pinaceae,Abies,Shrub,2.6,Arnold Arboretum living collection (Arboretum Explorer)
Abies koreana 'Silberlocke',Cultivar of Korean Fir,|Abies koreana 'Horstmanns Silberlocke'|,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies lasiocarpa,Subalpine Fir,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
