genus,thin_barked,coarse_roots,production_method,planting_season,catalog_source
Abies,,,In-ground,Fall,DGH Production Method / Fall Hazard Guide
Acer,Yes,,Mostly container,Spring,DGH Production Method / Fall Hazard Guide
Amelanchier,,,,Fall,DGH Production Method / Fall Hazard Guide
Betula,Yes,,,,DGH Production Method / Fall Hazard Guide
Buxus,,,,Fall,DGH Production Method / Fall Hazard Guide
Carpinus,Yes,Yes,,Spring,DGH Production Method / Fall Hazard Guide
Carya,,Yes,Container,,DGH Production Method / Fall Hazard Guide
Cercidiphyllum,Yes,,,Spring,DGH Production Method / Fall Hazard Guide
Cercis,,Yes,,,DGH Production Method / Fall Hazard Guide
Clethra,,,,Fall,DGH Production Method / Fall Hazard Guide
Cornus,,,,Spring,DGH Production Method / Fall Hazard Guide
Corylopsis,,,,Spring,DGH Production Method / Fall Hazard Guide
Crataegus,,Yes,In-ground,,DGH Production Method / Fall Hazard Guide
Fagus,,Yes,Container,Spring,DGH Production Method / Fall Hazard Guide
Fraxinus,,,In-ground,Fall,DGH Production Method / Fall Hazard Guide
Halesia,,,In-ground,,DGH Production Method / Fall Hazard Guide
Hamamelis,,,In-ground,Spring,DGH Production Method / Fall Hazard Guide
Hydrangea,,,Container,Fall,DGH Production Method / Fall Hazard Guide
Ilex,,,Container,Fall,DGH Production Method / Fall Hazard Guide
Magnolia,,,In-ground,Fall,DGH Production Method / Fall Hazard Guide
Malus,,Yes,In-ground,,DGH Production Method / Fall Hazard Guide
Nyssa,,Yes,,,DGH Production Method / Fall Hazard Guide
Ostrya,Yes,,,Spring,DGH Production Method / Fall Hazard Guide
Picea,,,In-ground,Fall,DGH Production Method / Fall Hazard Guide
Pinus,,,In-ground,Fall,DGH Production Method / Fall Hazard Guide
Platanus,,,,Fall,DGH Production Method / Fall Hazard Guide
Pseudotsuga,,,In-ground,Fall,DGH Production Method / Fall Hazard Guide
Pyrus,Yes,Yes,In-ground,Fall,DGH Production Method / Fall Hazard Guide
Quercus,,Yes,,,DGH Production Method / Fall Hazard Guide
Rhododendron,,,In-ground,Spring,DGH Production Method / Fall Hazard Guide
Rosa,,,,Fall,DGH Production Method / Fall Hazard Guide
Stewartia,,,,Spring,DGH Production Method / Fall Hazard Guide
Syringa,,,Container,Fall,DGH Production Method / Fall Hazard Guide
Taxodium,,,,Fall,DGH Production Method / Fall Hazard Guide
Tsuga,,,Container,Fall,DGH Production Method / Fall Hazard Guide
Ulmus,,,,Fall,DGH Production Method / Fall Hazard Guide
Viburnum,,,In-ground,Fall,DGH Production Method / Fall Hazard Guide
Zelkova,,,,Fall,DGH Production Method / Fall Hazard Guide
