scientific_name,family,genus,growth_habit,conservation_status,catalog_source
Abarema cochliocarpos,Fabaceae,Abarema,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abeliophyllum distichum,Oleaceae,Abeliophyllum,,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abelmoschus moschatus,Malvaceae,Abelmoschus,,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies alba,Pinaceae,Abies,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies amabilis,Pinaceae,Abies,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies balsamea phanerolepis,Pinaceae,Abies,Tree,Data Deficient,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies beshanzuensis,Pinaceae,Abies,Tree,Critically Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies cephalonica,Pinaceae,Abies,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies cilicica,Pinaceae,Abies,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies concolor,Pinaceae,Abies,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies densa,Pinaceae,Abies,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies fabri,Pinaceae,Abies,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies fargesii faxoniana,Pinaceae,Abies,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies firma,Pinaceae,Abies,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies forrestii forrestii,Pinaceae,Abies,Tree,Near Threatened,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies fraseri,Pinaceae,Abies,Tree,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies grandis,Pinaceae,Abies,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies guatemalensis,Pinaceae,Abies,Tree,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies holophylla,Pinaceae,Abies,Tree,Near Threatened,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies homolepis,Pinaceae,Abies,Tree,Near Threatened,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies kawakamii,Pinaceae,Abies,Tree,Near Threatened,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies koreana,Pinaceae,Abies,Tree,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies lasiocarpa,Pinaceae,Abies,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies magnifica,Pinaceae,Abies,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies mariesii,Pinaceae,Abies,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies nebrodensis,Pinaceae,Abies,Tree,Critically Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies nephrolepis,Pinaceae,Abies,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies nordmanniana,Pinaceae,Abies,Tree,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies numidica,Pinaceae,Abies,Tree,Critically Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies pindrow,Pinaceae,Abies,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies pinsapo pinsapo,Pinaceae,Abies,Tree,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies procera,Pinaceae,Abies,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies recurvata ernestii,Pinaceae,Abies,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies religiosa,Pinaceae,Abies,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies sachalinensis nemorensis,Pinaceae,Abies,Tree,Data Deficient,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies sibirica,Pinaceae,Abies,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies spectabilis,Pinaceae,Abies,Tree,Near Threatened,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies squamata,Pinaceae,Abies,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abies veitchii sikokiana,Pinaceae,Abies,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abrahamia grandidieri,Anacardiaceae,Abrahamia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abuta grandifolia,Menispermaceae,Abuta,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abuta rufescens,Menispermaceae,Abuta,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abutilon eremitopetalum,Malvaceae,Abutilon,,Critically Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abutilon herzogianum,Malvaceae,Abutilon,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abutilon incanum,Malvaceae,Abutilon,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abutilon menziesii,Malvaceae,Abutilon,,Critically Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abutilon permolle,Malvaceae,Abutilon,,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abutilon sandwicense,Malvaceae,Abutilon,,Critically Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia acuminata,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia adsurgens,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia ampliceps,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia ancistrocarpa,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia aneura,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia argyrodendron,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia aulacocarpa,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia auriculiformis,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia beauverdiana,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia binervata,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia binervia,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia brachystachya,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
