scientific_name,common_name,growth_habit,leaf_retention,usda_hardiness_zone,catalog_source,catalog_source_url,mda_hardiness_zone,mda_categories,mda_cultivar_notes
Abies balsamea,Fir,Tree,Evergreen,2-4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,2-4,Evergreens,'Piccolo'; Balsam Fir; Canaan Fir
Abies concolor,Fir,Tree,Evergreen,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Evergreens,White Fir
Abies fraseri,Fir,Tree,Evergreen,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Evergreens,Fraser Fir
Abies koreana,Fir,Tree,Evergreen,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Evergreens,"Korean Fir, 'Horstmann Silberlocke'; Silver Show"
Abies lasiocarpa,Fir,Tree,Evergreen,2,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,2,Evergreens,"Subalpine fir, Corkbark fir"
Acer camprestre,Maple,Tree,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Deciduous (non-fruit),"Hedge Maple - 'Carnival', 'Fade Patina'"
Acer circinatum,Maple,Tree,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Deciduous (non-fruit),Oregon Vine Maple
Acer ginnala,Amur Maple,Tree,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Deciduous (non-fruit),"Flame', 'Ruby Slippers' - Specially Regulated Plant Must have label ""Plant where seedlings will be controlled and at least 100 yards from natural areas."""
Acer glabrum,Maple,Tree,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Deciduous (non-fruit),Rocky Mountian Maple
Acer griseum,Maple,Tree,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Deciduous (non-fruit),Paperbark maple
Acer japonicum,Maple,Tree,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Deciduous (non-fruit),Full Moon Maple
Acer miyabei,Maple,Tree,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Deciduous (non-fruit),State Street® Maple aka 'Morton'
Acer negundo,Maple,Tree,,2-3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,2-3,Deciduous (non-fruit),"Boxelder - 'Sensation'; Boxelder - Box Elder Maple, 'Baron'"
Acer palmatum,Japanese Maple,Tree,,4-5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4-5,Deciduous (non-fruit),"'Crimson Queen'; Atropurpureum', 'Bloodgood', 'Emporer', 'Everred', 'Kagiri Nishiki', 'Nigrum', 'Osakazuki', 'Oshio-Beni', 'Red Dragon', 'Sangokaku', 'Seiryu', 'Virdis', 'Wolff'; Velvet Viking™ 'Monfrick'"
Acer platanoides,Norway Maple,Tree,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Deciduous (non-fruit),"Crimson Sentry' 'Crimson King', 'Culumnar', Deborah', 'Emerald Lustre'® aka 'Pond', 'Emerald Queen', 'Parkway' Princeton Gold'®, 'Royal Red', 'Variegatum', 'Superform' - Norway Maple is now a Specially Regulated Plant in Minnesota; Sellers shall affix a label directly to the plant or container packaging that is being sold that advises buyers to only plant Norway maple and its cultivars in landscapes where the seedlings will be controlled by mowing or other means. Norway maple seed is wind dispersed and trees should be planted at least 100 yards from natural areas."
Acer rubrum,Red Maple,Tree,,3-5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3-5,Deciduous (non-fruit),"Autumn Flame', Autumn radience, 'Bowhall', 'Brandywine', 'Karpic', Fairview Flame', Burgundy Belle® aka 'Magnificent Magenta' , Red Rocket', Red Sunset® aka 'Franksred' Maple, ' Scarlet Sentenial', 'Sun Valley', 'Somerset'; Northern Flare® aka 'Sisseton', Scarlet Jewel™ aka 'Bailcraig'; Red Maple (Northern seed source); Red Maple - 'October Glory'"
Acer saccharinum,Silver Maple,Tree,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Deciduous (non-fruit),"Silver Maple - 'Silver Cloud', 'Silver Queen'"
Acer saccharum,Sugar Maple,Tree,,3-4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3-4,Deciduous (non-fruit),"Black Maple; PA Source Sugar Maple, Apollo® aka 'Barrett Cole', Crescendo™ aka 'Morton', 'Commemoration', Green Mountain® Maple , 'Autumn Fest' 'JFS-KW8' ,; Sugar Maple 'Fall Fiesta', 'Bailista' , 'Legacy', 'Wright Brothers', Inferno™ aka 'Jeferno', 'Jefcan'"
Acer shirasawanum,Maple,Tree,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Deciduous (non-fruit),'Autumn Moon'
Acer tartaricum,Tartarian Maple,Tree,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Deciduous (non-fruit),"Hot Wings aka 'Gar Ann' PP15023 - Tartarian Maple is now a Specially Regulated Plant in Minnesota; Sellers shall affix a label directly to the plant or container packaging that is being sold that advises buyers to only plant Norway maple and its cultivars in landscapes where the seedlings will be controlled by mowing or other means. Norway maple seed is wind dispersed, and trees should be planted at least 100 yards from natural areas."
Acer tegmenttosum,Maple,Tree,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Deciduous (non-fruit),Manchustriped Maple
Acer triflorum,Maple,Tree,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Deciduous (non-fruit),Three Flowered Maple
Acer truncatum,Maple,Tree,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Deciduous (non-fruit),"Crimson Sunset® 'JFS-KW202' , Norwegian Sunset® - Norway Maple is now a Specially Regulated Plant in Minnesota; Sellers shall affix a label directly to the plant or container packaging that is being sold that advises buyers to only plant Norway maple and its cultivars in landscapes where the seedlings will be controlled by mowing or other means. Norway maple seed is wind dispersed and trees should be planted at least 100 yards from natural areas."
Acer × freemanii,Maple,Tree,,3-4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3-4,Deciduous (non-fruit),"Freeman Maple - Autumn Blaze® aka 'Jeffersred', Firefall™, 'Bailston' aka Matador™ , Armstrong Gold™ aka 'JFS-KW78' , Autumn Fantasy', 'Marmo'; Freeman Maple - Sienna Glen® aka 'Sienna'"
Acer × pseudosieboldianum,Maple Hybrid,Tree,,3-4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3-4,Deciduous (non-fruit),"Korean Maple; Northern Glow® Hybrid Maple - Arctic Jade® Hybrid Maple ('IsIAJ'), Ice Dragon™ Hybrid Maple ('IsIID'), North Wind® Hybrid Maple ('IsINW'); Northern Spotlight® aka 'KorDak'"
Actinidia arguta,Hardy Kiwi,Vine,,3-5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3-5,Fruit,'Issai' - Hardy Kiwi; var. arguta
