scientific_name,common_name,family,growth_habit,native_status,flower_color,bloom_period,notes,habitat_value,associated_wildlife,water_needs,soil_type,plant_communities,catalog_source
Abutilon palmeri,Indian Mallow,Malvaceae,Shrub (evergreen),CA Native,Orange,Spring,,Pollinator,Birds,None,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Acacia cognata 'Cousin Itt',Bower Wattle,Mimosaceae,Shrub (evergreen),Exotic,Yellow,Spring,,,,Low,,,"SF Plant Finder (DataSF, CC)"
Acer circinatum,Vine maple tree,Sapindaceae,Tree (evergreen),CA Native,White;Red;Green;Purple,Spring,,Cover;Nesting,Birds,Moderate,Loam,Riparian;Wetland;Woodland,"SF Plant Finder (DataSF, CC)"
Acer macrophyllum,Bigleaf Maple,Sapindaceae,Tree (deciduous),CA Native,Orange;Red;Yellow,Spring,Provides shelter for wildlife,Pollinator;Nesting,Bees;Birds;Butterflies,Moderate,Clay;Loam;Sand;Rock,Riparian,"SF Plant Finder (DataSF, CC)"
Acer negundo,Box Elder,Sapindaceae,Tree (deciduous),SF Native,Pink,Spring,Withstands wind.,Buds/greens;Nesting,Bees;Birds;Butterflies;Insects,Moderate,Clay;Loam;Sand;Rock,Chaparral;Grassland/prairie;Riparian;Woodland,"SF Plant Finder (DataSF, CC)"
Adenanthos spp.,Woolly Bush,Proteaceae,Shrub (evergreen),Exotic,,,,,,Low,,,"SF Plant Finder (DataSF, CC)"
Aeonium spp.,Canary Island Rose,Crassulaceae,Shrub (evergreen),Exotic,,,,,,Low,,,"SF Plant Finder (DataSF, CC)"
Aesculus californica,California Buckeye,Sapindaceae,Tree (deciduous),SF Native,White;Pink,Summer,Recommended where there is space (ie: Palou Phelps park).  Attracts Western Tiger Swallowtail (Papilio rutulus) butterfly.,Pollinator,Bees;Birds;Butterflies;Hummingbirds;Insects,None,Clay;Loam;Sand;Rock,Riparian;Woodland,"SF Plant Finder (DataSF, CC)"
Afrocarpus falcatus,Fern Pine,Podocarpaceae,Tree (evergreen),Exotic,,,Slow rooter.,,,Low,,,"SF Plant Finder (DataSF, CC)"
Agave spp.,Agave,Agavaceae,Shrub (evergreen),CA Native,,,,,,None,,,"SF Plant Finder (DataSF, CC)"
Alnus rhombifolia,White Alder,Betulaceae,Tree (deciduous),CA Native,Yellow,Fall,Streamside plant.,Pollinator,Birds;Butterflies;Hummingbirds,Moderate,Clay;Loam;Sand;Rock,Riparian,"SF Plant Finder (DataSF, CC)"
Aloe spp.,Aloe,Aloeaceae,Shrub (evergreen),Exotic,,,,Pollinator,Birds,Low,,,"SF Plant Finder (DataSF, CC)"
Alyogyne  huegelii,Blue Hibiscus,Malvaceae,Shrub (evergreen),Exotic,Purple;Blue,Spring;Summer;Fall;Winter,,Pollinator,Birds,Low,,,"SF Plant Finder (DataSF, CC)"
Amelanchier spp.,Western Service Berry,Rosaceae,Shrub (deciduous),SF Native,bear,Summer,,Fruit;Pollinator,Bees;Birds;Butterflies;Insects,Low,Clay;Loam;Rock,Coastal Scrub,"SF Plant Finder (DataSF, CC)"
Arbutus 'Marina',Marina Strawberry Tree,Ericaceae,Tree (evergreen),Exotic,Pink,Fall;Winter,Fruit drop can range from low volume to significant. May be short lived; may need to be replanted in 20-25 years; pollinators.,,Birds; Butterflies,Low,,,"SF Plant Finder (DataSF, CC)"
Arbutus menziesii,Madrone,Ericaceae,Tree (evergreen),SF Native,White,Spring,Peeling red bark.,Cover;Fruit;Pollinator;Nesting,Bees;Birds;Butterflies;Hummingbirds,Low,Clay;Loam;Rock,Woodland,"SF Plant Finder (DataSF, CC)"
Arctostaphylos 'Emerald Carpet',Emerald Carpet,Ericaceae,Shrub (evergreen),CA Native,White,Spring;Winter,,,,None,Loam;Sand,,"SF Plant Finder (DataSF, CC)"
Arctostaphylos spp.,Manzanita,Ericaceae,Shrub (evergreen),CA Native,,,,Pollinator,Birds;Bees,Low,,,"SF Plant Finder (DataSF, CC)"
Arctostaphylos uva ursi 'Radiant',Radiant Bearberry,Ericaceae,Shrub (evergreen),CA Native,Pink,Spring;Winter,,Pollinator,Butterflies;Bees;Hummingbirds,None,Many,,"SF Plant Finder (DataSF, CC)"
Aristolochia californica,Dutchman's Pipevine,Aristolochiaceae,Vine,SF Native,Burgundy,Spring;Winter,Slow grower. Attracts Pipe Vine Swallowtail (Battus philenor).,Buds/greens;Cover;Pollinator,Butterflies;Insects,Low,Clay;Loam,Coastal scrub;Woodland,"SF Plant Finder (DataSF, CC)"
Artemisia californica,California Sagebrush,Asteraceae,Shrub (evergreen),SF Native,Yellow,Summer,Resilient and good visual. Attracts Nutall's White-Crowned Sparrow (Zonotrichia leucophrys nuttalli).,Cover;Nesting,Bees;Birds;Butterflies,None,Clay;Loam;Sand;Rock,Coastal scrub,"SF Plant Finder (DataSF, CC)"
Artemisia pycnocephala,Dune Sagewort,Asteraceae,Shrub (evergreen),SF Native,Yellow,Summer,"Excellent visually, but limited to coastal sand dunes.",Cover;Nesting,Bees,None,Clay;Loam;Sand;Rock,Dunes,"SF Plant Finder (DataSF, CC)"
Artemisia tridentata,Big Sagebrush,Asteraceae,Shrub (evergreen),CA Native,White,Summer,,,,None,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Baccharis pilularis,Coyotebrush,Asteraceae,Shrub (evergreen),SF Native,White,Fall,"Amazing for wildlife. Attracts Western fence lizard, Nutall's White-crowned Sparrow, Gray Hairstreak (Strymon melinus), and Common Buckeye (Junonia coeni).",Cover;Buds/greens;Pollinator;Nesting,Bees;Birds;Butterflies;Insects,None,Clay;Loam;Sand;Rock,Coastal scrub;Dunes,"SF Plant Finder (DataSF, CC)"
Baccharis pilularis 'Twin Peaks',Coyotebrush prostrate form,Asteraceae,Shrub (evergreen),SF Native,,,,Buds/greens;Pollinator;Nesting,Bees;Birds;Butterflies;Insects,None,Clay;Loam;Sand;Rock,Coastal scrub,"SF Plant Finder (DataSF, CC)"
Baccharis salicifolia,mule-fat,Asteraceae,Shrub (evergreen),CA Native,White,Spring;Summer;Fall;Winter,,Cover;Nesting,,Low,Clay;Loam;Sand,,"SF Plant Finder (DataSF, CC)"
Banksia spp.,Banksia,Proteaceae,Shrub (evergreen),Exotic,,,,Pollinator;Cover;Nesting,Birds,Low,,,"SF Plant Finder (DataSF, CC)"
Berberis aquifolium,barberry;Mountain grape,Berberidaceae,Shrub (evergreen),CA Native,Yellow,Spring;Winter,,Fruit,Bees,Low,Loam;Sand,Woodland,"SF Plant Finder (DataSF, CC)"
Berberis aquifolium repens,creeping Oregon grape,Berberidaceae,Shrub (evergreen),CA Native,Yellow,Spring,,Fruit,Bees,Low,Clay;Loam,Chaparral;Woodland,"SF Plant Finder (DataSF, CC)"
Berberis pinnata,Coast Barberry,Berberidaceae,Shrub (evergreen),SF Native,Yellow,Spring,Attracts Cedar Waxwing (Bombycilla cedrorum) bird.,Buds/greens;Pollinator,Bees;Birds,Low,Clay,Coastal scrub;Woodland,"SF Plant Finder (DataSF, CC)"
Berberis thunbergii,Japanese barberry,Berberidaceae,Shrub (deciduous),Exotic,Yellow,Spring,,Fruit,,Low,Loam;Sand,,"SF Plant Finder (DataSF, CC)"
Billardiera heterophylla,Australian Bluebell Creeper,Pittosporaceae,Shrub (evergreen),Exotic,Blue,Spring;Summer;Fall,,Pollinator,,None,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Bougainvillea spp.,Bougainvillea,Nyctaginaceae,Vine,Exotic,,,,Cover;Nesting,,Low,,,"SF Plant Finder (DataSF, CC)"
Bulbine frutescens,Stalked bulbine,Asphodelaceae,Shrub (evergreen),Exotic,Yellow,Spring;Summer,,,,Low,,,"SF Plant Finder (DataSF, CC)"
Calliandra eriophylla,Fairy Dustre,Fabaceae,Shrub (evergreen),CA Native,Pink,Spring;Winter,,Pollinator,Birds;Hummingbirds,None,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Callistemon citrinus,Lemon Bottlebrush,Myrtaceae,Tree (evergreen),Exotic,Red,Spring;Summer,"Grows low, and wide canopy and needs a wide sidewalk, sticky flowers.",Pollinator,Birds;Hummingbirds;Butterflies;Bees,Low,,,"SF Plant Finder (DataSF, CC)"
Calycanthus occidentalis,Spice Bush,Calycanthaceae,Shrub (evergreen),CA Native,Burgundy,Summer,,Buds/greens,Birds;Insects,Low,Clay;Loam;Sand,Wetland;Woodland,"SF Plant Finder (DataSF, CC)"
Calystegia macrostegia,California Morning Glory,Convolvulacea,Vine,CA Native,,Spring;Summer,,Cover;Nesting,,None,Loam;sand,Coastal scrub;Chaparral,"SF Plant Finder (DataSF, CC)"
Calystegia purpurata,morning glory,Convolvulaceae,Vine,SF Native,White;Ourple,Spring;Summer;Fall,,Cover;Nesting,,None,Sand,Coastal scrub;Chaparral,"SF Plant Finder (DataSF, CC)"
Carex buchananii,Leather leaf sedge,Cyperaceae,Shrub (evergreen),Exotic,Brown,Summer,,Pollinator,Butterflies,Moderate,,,"SF Plant Finder (DataSF, CC)"
Carex texensis,Catlin sedge,Cyperaceae,Shrub (evergreen),Exotic,Green,Summer,,,,Low,,,"SF Plant Finder (DataSF, CC)"
Carissa macrocarpa,Natal Plum,Apocynaceae,Shrub (evergreen),Exotic,White,,,,,Low,,,"SF Plant Finder (DataSF, CC)"
Carpenteria californica,Bush Anemone,Hydrangeaceae,Shrub (evergreen),CA Native,White,Summer,CNPS Rare Plant; State listed as Threatened,Pollinator;Cover,Bees:Birds;Butterflies;insects,Moderate,Loam;Sand,,"SF Plant Finder (DataSF, CC)"
Cassia leptophylla,Gold Medallion Tree,Caesalpiniaceae (~Fabales),Tree (evergreen),Exotic,Yellow,Summer,Semi-evergreen; requires extensive early maintenance.,Cover;Nesting,,Low,Loam;Sand,,"SF Plant Finder (DataSF, CC)"
Ceanothus gloriosus,Point Reyes Ceanothus,Rhamnaceae,Shrub (evergreen),CA Native,Blue;Purple,Spring;Winter,,Pollinator,Humminbirds;Bees;Butterflies;Bees,None,Clay;Loam;Sand,Chaparral;Coastal scrub;Woodland,"SF Plant Finder (DataSF, CC)"
Ceanothus griseus horizontalis,Carmel creeper,Rhamnaceae,Shrub (evergreen),CA Native,Blue,Spring;Winter,,Pollinator,Butterflies;Bees;Hummingbirds,None,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Ceanothus 'Ray Hartman',Ray Hartman Ceanothus,Rhamnaceae,Tree (evergreen),CA Native,Blue,Spring,Pollinators.,,Birds;Hummingbirds;Butterflies,None,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Ceanothus spp.,California Lilac,Rhamnaceae,Shrub (evergreen),CA Native,,,,Pollinator,Birds;Bees,Low,,,"SF Plant Finder (DataSF, CC)"
