scientific_name,common_name,family,genus,usda_hardiness_zone,rhs_hardiness_rating,height_mature_ft,native_status,habitat,taxonomic_note,conservation_status,tso_url,catalog_source
Abelia 'Maurice Foster',,Caprifoliaceae,Abelia,6b,H5,6.6,China,Mountain forests,,,https://www.treesandshrubsonline.org/articles/abelia/abelia-maurice-foster/,Trees and Shrubs Online (IDS)
Abelia chinensis,Chinese Abelia,Caprifoliaceae,Abelia,7,H5,6.6,"China, Japan, Taiwan",Mountain forests to 1500 m asl.,,Least concern (LC),https://www.treesandshrubsonline.org/articles/abelia/abelia-chinensis/,Trees and Shrubs Online (IDS)
Abelia schumannii,,Caprifoliaceae,Abelia,7,H5,4.9,China,Mountain forests in deep valleys.,,Least concern (LC),https://www.treesandshrubsonline.org/articles/abelia/abelia-schumannii/,Trees and Shrubs Online (IDS)
Abelia uniflora,,Caprifoliaceae,Abelia,6,H5,4.9,China,Mountain forests,,Least concern (LC),https://www.treesandshrubsonline.org/articles/abelia/abelia-uniflora/,Trees and Shrubs Online (IDS)
Abelia × grandiflora,Common Abelia,Caprifoliaceae,Abelia,5b,H6,6.6,,"Garden origin, with possible hybrid forms occurring naturally in southern China",,,https://www.treesandshrubsonline.org/articles/abelia/abelia-x-grandiflora/,Trees and Shrubs Online (IDS)
Abeliophyllum distichum,미선나무 (miseonnamu),Oleaceae,Abeliophyllum,4-8,H5,4.9,"North Korea, South Korea","Understorey of open deciduous or mixed montane woodland, with canopy trees including Pinus densiflora , Quercus myrsinifolia and Q. acutissima.",,Endangered (EN),https://www.treesandshrubsonline.org/articles/abeliophyllum/abeliophyllum-distichum/,Trees and Shrubs Online (IDS)
Abies alba,Silver Fir,Pinaceae,Abies,4-7,H7,196.9,"Albania, Andorra, Austria, Bosnia and Herzegovina, Bulgaria, Croatia, Czechia, France, Germany, Greece, Hungary, Italy, Kosovo, Liechtenstein, North Macedonia, Montenegro, Poland, Romania, Serbia, Slovenia, Spain, Switzerland, Ukraine","On well-drained soils from 300 (in Bavaria) to 2000 (in the Pyrenees and Apennines) m asl, though most common at 500–1500 m asl. Forming mixed forests primarily with Fagus sylvatica at lower elevations, becoming the first conifer to compete significantly with that species when F. sylvatica becomes less vigorous with altitiude. Co-dominant with Picea abies in coniferous forests of higher elevations",,Least concern (LC),https://www.treesandshrubsonline.org/articles/abies/abies-alba/,Trees and Shrubs Online (IDS)
Abies amabilis,Pacific Silver Fir,Pinaceae,Abies,5-8,H6,105.0,"Canada, United States","In temperate rainforest with cool, humid summers, usually in mountains but from sea level to c . 350 m asl in SE Alaska, to 1500 m in British Columbia, and higher still on the western slopes of the Cascades. It has a broad range of associates but among the most common are Picea sitchensis, Pseudotsuga menziesii, Thuja plicata , and Tsuga heterophylla .",,Least concern (LC),https://www.treesandshrubsonline.org/articles/abies/abies-amabilis/,Trees and Shrubs Online (IDS)
Abies balsamea,Balsam Fir,Pinaceae,Abies,2-5,H7,124.7,"Canada, United States","Over a vast range it occurs in a suite of habitat types, from lowland plains to mountains, and in coastal areas, 0–1200 m asl, most common on acidic, silty or sandy podzol soils. Near the cost the climate is cool-maritime, and inland cold-continental, characterised by very cold winters.","For some time this variety was thought to be a hybrid between A. balsamea and A. fraseri , and while it is possible that some hybrid forms do occur where the two species meet in the Southern Appalachians, this has not been proven. Furthermore trees matching var. phanerolepis have been found to occur in natural populations of A. balsamea well to the north of the northern limits of A. fraseri . ( Fa",Least concern (LC),https://www.treesandshrubsonline.org/articles/abies/abies-balsamea/,Trees and Shrubs Online (IDS)
Abies beshanzuensis,Baishan Fir,Pinaceae,Abies,8,H4,,China,"Secondary angiosperm forest at 1500–1700 m asl. The warm-temperate climate has some degree of maritime influence and experiences humid summers and cool, moist winters.",,Critically endangered (CR),https://www.treesandshrubsonline.org/articles/abies/abies-beshanzuensis/,Trees and Shrubs Online (IDS)
