scientific_name,synonyms,common_name,family,genus,growth_habit,duration,native_status,height_mature_ft,leaf_retention,flower_color,bloom_period,drought_tolerance,shade_tolerance,lifespan,usda_symbol,catalog_source
Abelia ×grandiflora,,glossy abelia,Caprifoliaceae,Abelia,Shrub,Perennial,L48(I),4.0,Yes,Purple,Late Summer,Low,Tolerant,Long,ABGR4,USDA PLANTS (public domain)
Abelmoschus esculentus,Hibiscus esculentus,okra,Malvaceae,Abelmoschus,"Subshrub, Forb/herb","Annual, Perennial",L48(I)PR(I)VI(I),,,,,,,,ABES,USDA PLANTS (public domain)
Abelmoschus moschatus,Hibiscus abelmoschus,musk okra,Malvaceae,Abelmoschus,"Subshrub, Shrub",Perennial,L48(I)HI(I)PR(I),,,,,,,,ABMO,USDA PLANTS (public domain)
Abies alba,,silver fir,Pinaceae,Abies,Tree,Perennial,L48(I),,,,,,,,ABAL3,USDA PLANTS (public domain)
Abies amabilis,,Pacific silver fir,Pinaceae,Abies,Tree,Perennial,L48(N)AK(N)CAN(N),165,Yes,Yellow,Late Spring,Low,Tolerant,Long,ABAM,USDA PLANTS (public domain)
Abies balsamea,,balsam fir,Pinaceae,Abies,Tree,Perennial,L48(N)CAN(N)SPM(N),60,Yes,Yellow,Mid Summer,Low,Tolerant,Short,ABBA,USDA PLANTS (public domain)
Abies balsamea var. balsamea,Pinus balsamea,balsam fir,Pinaceae,Abies,Tree,Perennial,L48(N)CAN(N)SPM(N),,,,,,,,ABBAB,USDA PLANTS (public domain)
Abies ×phanerolepis,Abies balsamea var. phanerolepis,balsam fir,Pinaceae,Abies,Tree,Perennial,L48(N)CAN(N),,,,,,,,ABBAP,USDA PLANTS (public domain)
Abies venusta,Abies bracteata,bristlecone fir,Pinaceae,Abies,Tree,Perennial,L48(N),,,,,,,,ABBR,USDA PLANTS (public domain)
Abies concolor,Abies concolor var. concolor,white fir,Pinaceae,Abies,Tree,Perennial,L48(N),120,Yes,Red,Late Spring,Medium,Intermediate,Long,ABCO,USDA PLANTS (public domain)
Abies firma,,Momi fir,Pinaceae,Abies,Tree,Perennial,L48(I),,,,,,,,ABFI,USDA PLANTS (public domain)
Abies fraseri,Pinus fraseri,Fraser fir,Pinaceae,Abies,Tree,Perennial,L48(N),55,Yes,Purple,Mid Spring,Low,Tolerant,Moderate,ABFR,USDA PLANTS (public domain)
Abies grandis,Abies grandis var. grandis; Abies grandis f. johnsonii; Abies grandis var. idahoensis; Abies grandis ssp. idahoensis,grand fir,Pinaceae,Abies,Tree,Perennial,L48(N)CAN(N),150,Yes,,Late Spring,Medium,Tolerant,Long,ABGR,USDA PLANTS (public domain)
Abies guatemalensis,,Guatemalan fir,Pinaceae,Abies,Tree,Perennial,,,,,,,,,ABGU,USDA PLANTS (public domain)
Abies homolepis,,Nikko fir,Pinaceae,Abies,Tree,Perennial,L48(I),,,,,,,,ABHO,USDA PLANTS (public domain)
Abies lasiocarpa,,subalpine fir,Pinaceae,Abies,Tree,Perennial,L48(N)AK(N)CAN(N),90,Yes,,Late Spring,Low,Tolerant,Long,ABLA,USDA PLANTS (public domain)
Abies arizonica,Abies lasiocarpa var. arizonica,corkbark fir,Pinaceae,Abies,Tree,Perennial,L48(N),,,,,,,,ABLAA,USDA PLANTS (public domain)
Abies bifolia,Abies subalpina; Abies balsamea var. fallax; Abies lasiocarpa ssp. bifolia; Abies lasiocarpa var. bifolia; Abies balsamea ssp. lasiocarpa; Abies lasiocarpa var. lasiocarpa,subalpine fir,Pinaceae,Abies,Tree,Perennial,L48(N)AK(N)CAN(N),,,,,,,,ABLAL,USDA PLANTS (public domain)
Abies lowiana,Abies concolor var. lowiana,Sierra white fir,Pinaceae,Abies,Tree,Perennial,L48(N),,,,,,,,ABLO,USDA PLANTS (public domain)
Abies magnifica,,California red fir,Pinaceae,Abies,Tree,Perennial,L48(N),150,Yes,Brown,Late Spring,Low,Tolerant,Long,ABMA,USDA PLANTS (public domain)
Abies magnifica var. magnifica,,California red fir,Pinaceae,Abies,Tree,Perennial,L48(N),,,,,,,,ABMAM,USDA PLANTS (public domain)
