Genus,Thin-barked,Coarse Roots,Production method,Exposure,PLANTING SEASON
Abies,,,In-ground,sun,fall
Acer,X,,Mostly container,partial shade,spring
Amalenchiar,,,,sun,fall
Betula,X,,,sun,
Buxus,,,,,fall
Carpinus,X,X,,,spring
Carya,,X,Container,sun,
Celtis,,,,sun,
Cercidiphyllum,x,,,,spring
Cercis,,X,,partial sun,
Clethra,,,,,fall
Cornus,,,,partial sun,spring
Corylopsis,,,,,spring
Crataegus,,X,In-ground,,
Fagus,,x,container,,spring
Fraxinus,,,In-ground,sun,fall
Halesia,,,In-ground,,
Hamamelis,,,in-ground,,spring
Hydrangea,,,Container,shade,Fall
Ilex,,,Container,,Fall
Lindera,,,,shade,
Liquidambar,,,,,
Liriodendron,,,,,
Lyonia,,,,shade,
Magnolia,,,in-ground,,fall
Malus,,X,In-ground,,
Nyssa,,X,,,
Ostrya,x,,,partial shade,spring
Picea,,,In-ground,sun,fall
Pinus,,,In-ground,sun,fall
Platanus,,,,sun,fall
Pseudotsuga ,,,In-ground,sun,fall
Pyrus,x,X,In-ground,sun,fall
Quercus,,X,,sun,
Rhododendron,,,In-ground,shade,spring
Rosa,,,,sun,fall
Stewartia,,,,partial shade,spring
Syringa,,,Container,sun,fall
Taxodium,,,,sun,fall
Tilia,,,,partial sun,
Tsuga,,,container,shade,fall
Ulmus,,,,sun,Fall
Viburnum,,,In-ground,sun,fall
Zelkova,,,,sun,fall
