scientific_name,synonyms,common_name,family,genus,growth_habit,duration,native_status,category,height_mature_ft,leaf_retention,flower_color,bloom_period,drought_tolerance,shade_tolerance,lifespan,usda_symbol
Abelia ×grandiflora,,glossy abelia,Caprifoliaceae,Abelia,Shrub,Perennial,L48(I),Dicot,4.0,Yes,Purple,Late Summer,Low,Tolerant,Long,ABGR4
Abelmoschus esculentus,Hibiscus esculentus,okra,Malvaceae,Abelmoschus,"Subshrub, Forb/herb","Annual, Perennial",L48(I)PR(I)VI(I),Dicot,,,,,,,,ABES
Abelmoschus moschatus,Hibiscus abelmoschus,musk okra,Malvaceae,Abelmoschus,"Subshrub, Shrub",Perennial,L48(I)HI(I)PR(I),Dicot,,,,,,,,ABMO
Abies alba,,silver fir,Pinaceae,Abies,Tree,Perennial,L48(I),Gymnosperm,,,,,,,,ABAL3
Abies amabilis,,Pacific silver fir,Pinaceae,Abies,Tree,Perennial,L48(N)AK(N)CAN(N),Gymnosperm,165,Yes,Yellow,Late Spring,Low,Tolerant,Long,ABAM
Abies balsamea,,balsam fir,Pinaceae,Abies,Tree,Perennial,L48(N)CAN(N)SPM(N),Gymnosperm,60,Yes,Yellow,Mid Summer,Low,Tolerant,Short,ABBA
Abies balsamea var. balsamea,Pinus balsamea,balsam fir,Pinaceae,Abies,Tree,Perennial,L48(N)CAN(N)SPM(N),Gymnosperm,,,,,,,,ABBAB
Abies ×phanerolepis,Abies balsamea var. phanerolepis,balsam fir,Pinaceae,Abies,Tree,Perennial,L48(N)CAN(N),Gymnosperm,,,,,,,,ABBAP
Abies venusta,Abies bracteata,bristlecone fir,Pinaceae,Abies,Tree,Perennial,L48(N),Gymnosperm,,,,,,,,ABBR
Abies concolor,Abies concolor var. concolor,white fir,Pinaceae,Abies,Tree,Perennial,L48(N),Gymnosperm,120,Yes,Red,Late Spring,Medium,Intermediate,Long,ABCO
Abies firma,,Momi fir,Pinaceae,Abies,Tree,Perennial,L48(I),Gymnosperm,,,,,,,,ABFI
Abies fraseri,Pinus fraseri,Fraser fir,Pinaceae,Abies,Tree,Perennial,L48(N),Gymnosperm,55,Yes,Purple,Mid Spring,Low,Tolerant,Moderate,ABFR
Abies grandis,Abies grandis var. grandis; Abies grandis f. johnsonii; Abies grandis var. idahoensis; Abies grandis ssp. idahoensis,grand fir,Pinaceae,Abies,Tree,Perennial,L48(N)CAN(N),Gymnosperm,150,Yes,,Late Spring,Medium,Tolerant,Long,ABGR
Abies guatemalensis,,Guatemalan fir,Pinaceae,Abies,Tree,Perennial,,Gymnosperm,,,,,,,,ABGU
Abies homolepis,,Nikko fir,Pinaceae,Abies,Tree,Perennial,L48(I),Gymnosperm,,,,,,,,ABHO
Abies lasiocarpa,,subalpine fir,Pinaceae,Abies,Tree,Perennial,L48(N)AK(N)CAN(N),Gymnosperm,90,Yes,,Late Spring,Low,Tolerant,Long,ABLA
Abies arizonica,Abies lasiocarpa var. arizonica,corkbark fir,Pinaceae,Abies,Tree,Perennial,L48(N),Gymnosperm,,,,,,,,ABLAA
Abies bifolia,Abies subalpina; Abies balsamea var. fallax; Abies lasiocarpa ssp. bifolia; Abies lasiocarpa var. bifolia; Abies balsamea ssp. lasiocarpa; Abies lasiocarpa var. lasiocarpa,subalpine fir,Pinaceae,Abies,Tree,Perennial,L48(N)AK(N)CAN(N),Gymnosperm,,,,,,,,ABLAL
Abies lowiana,Abies concolor var. lowiana,Sierra white fir,Pinaceae,Abies,Tree,Perennial,L48(N),Gymnosperm,,,,,,,,ABLO
